book	chapter	verse	commentary
Rom	1	1	Moses having written five books, has nowhere put his own name to them, neither have they who after him put together the history of events after him, no nor yet has Matthew, nor John, nor Mark, nor Luke; but the blessed Paul everywhere in his Epistles sets his own name. Now why was this? Because they were writing to people, who were present, and it had been superfluous to show themselves when they were present. But this man sent his writings from afar and in the form of a letter, for which cause also the addition of the name was necessary. But if in the Epistle to the Hebrews he does not do the same, this too is after his own wise judgment. For since they felt prejudiced against him, lest on hearing the name at the outstart, they should stop up all admission to his discourse, he subtly won their attention by concealing the name.
Rom	1	8	First, I thank my God through Jesus Christ for you all, that your faith is spoken of throughout the whole world. An exordium worthy of this blessed spirit, and able to teach all men to offer unto God the firstlings of their good deeds and words, and to render thanks not only for their own, but also for others' well-doings: which also makes the soul pure from envy and grudging, and draws God in a greater measure towards the loving spirit of them that so render thanks. Wherefore also elsewhere he says, Blessed be God and the Father of our Lord Jesus Christ, Who has blessed us with all spiritual blessing. Ephesians 1:3 And it is fitting that we render thanks not only when rich, but also when poor, not when in health only, but also when sick, not when we thrive only, but also when we have to bear the reverse.
Rom	1	18	For the wrath of God is revealed from Heaven against all ungodliness and unrighteousness of men, who hold down the truth in unrighteousness. Observe the discretion of Paul, how after encouraging by the gentler things, he turns his discourse to the more fearful. For after saying that the Gospel is the cause of salvation and of life, that it is the power of God, that it genders salvation and righteousness, he mentions what might well make them fear that were heedless of it. For since in general most men are not drawn so much by the promise of what is good as by the fear of what is painful, he draws them on both sides. For this cause too did God not only promise a kingdom, but also threaten hell. And the Prophets spoke thus with the Jews, ever intermingling the evil with the good.
Rom	1	26	For this cause God gave them up unto vile affections: for even their women did change the natural use into that which is against nature: and likewise also the men, leaving the natural use of the woman, burned in their lust one towards another. All these affections then were vile, but chiefly the mad lust after males; for the soul is more the sufferer in sins, and more dishonored, than the body in diseases. But behold how here too, as in the case of the doctrines, he deprives them of excuse, by saying of the women, that they changed the natural use. For no one, he means, can say that it was by being hindered of legitimate intercourse that they came to this pass, or that it was from having no means to fulfil their desire that they were driven into this monstrous insanity. For the changing implies possession.
Rom	1	28	Even as they did not like to retain God in their knowledge, God gave them over to a reprobate mind, to do those things which are not convenient. Lest he should seem to be hinting at them by delaying in his discourse so long over the unnatural sin, he next passes on to other kinds of sins also, and for this cause he carries on the whole of his discourse as of other persons. And as he always does when discoursing with believers about sins, and wishing to show that they are to be avoided, he brings the Gentiles in, and says, Not in the lust of concupiscence, even as the other Gentiles which know not God. 1 Thessalonians 4:5 And again: sorrow not, even as others which have no hope. 1 Thessalonians 4:13 And so here too he shows that it was to them the sins belonged, and deprives them of all excuse.
Rom	2	17	Behold, you are called a Jew, and restest in the Law, and makest your boast of God, and know His will, and approvest the things that are more excellent, being instructed out of the Law. After saying that the Gentile wants nothing appertaining to salvation if he be a doer of the Law, and after making that wonderful comparison, he goes on to set down the glories of the Jews, owing to which they thought scorn of the Gentiles: and first the very name itself, which was of great majesty, as the name Christian is now. For even then the distinction which the appellation made was great. And so he begins from this, and see how he takes it down. For he does not say, Behold, you are a Jew, but art called so, and makest your boast in God; that is, as being loved by Him, and honored above all other men.
Rom	3	9	What then have we more than they? For we have proved both Jews and Gentiles, that they are all under sin. As it is written, There is none righteous, no, not one: there is none that understands, there is none that seeks after God. They are all gone out of the way, they are together become unprofitable; there is none that does good, no not one. Their throat is an open sepulchre; with their tongues have they used deceit; the poison of asps is under their lips; whose mouth is full of cursing and bitterness: their feet are swift to shed blood: destruction and misery are in their ways: and the way of peace have they not known: there is no fear of God before their eyes.
Rom	4	1	What shall we then say that Abraham, our father as pertaining to the flesh, has found? For if Abraham were justified by works, he has whereof to glory; but not before God. He had said (5 manuscripts &#x03B5;&#x1F36;&#x03C0;&#x03B5;&#x03BD;), that the world had become guilty before God, and that all had sinned, and that boasting was excluded and that it was impossible to be saved otherwise than by faith. He is now intent upon showing that this salvation, so far from being matter of shame, was even the cause of a bright glory, and a greater than that through works. For since the being saved, yet with shame, had somewhat of dejection in it, he next takes away this suspicion too. And indeed he has hinted at the same already, by calling it not barely salvation, but righteousness. Therein (he says) is the righteousness of God revealed.
Rom	4	23	Now it was not written for his sake alone, that it was imputed to him for righteousness; but for us also, to whom it shall be imputed, if we believe in Him that raised up Jesus our Lord from the dead. After saying many great things of Abraham, and his faith, and righteousness, and honor before God, lest the hearer should say, What is this to us, for it is he that was justified? He places us close to the Patriarch again. So great is the power of spiritual words. For of one of the Gentiles, one who was recently come near, one who had done no work, he not only says that he is in nothing inferior to the Jew who believes (i.e. as a Jew), but not even to the Patriarch, but rather, if one must give utterance to the wondrous truth, even much greater. For so noble is our birth, that his faith is but the type of ours.
Rom	5	12	Wherefore as by one man sin entered into the world, and death by sin, and so death passed upon (&#x03B4;&#x03B9;&#x1F25;&#x03BB;&#x03B8;&#x03B5;&#x03BD; 6 manuscripts &#x03B5;&#x1F34;&#x03C2; ...) all men, for that all have sinned. As the best physicians always take great pains to discover the source of diseases, and go to the very fountain of the mischief, so does the blessed Paul also. Hence after having said that we were justified, and having shown it from the Patriarch, and from the Spirit, and from the dying of Christ (for He would not have died unless He intended to justify), he next confirms from other sources also what he had at such length demonstrated. And he confirms his proposition from things opposite, that is, from death and sin. How, and in what way? He enquires whence death came in, and how it prevailed.
