BookAbbrev	Chapter:Verse	Annotation
Gn	1:0	And though Gods blessing in this place, be also a precept, yet it is not to al men for euer, but for the propagation of mankind, which being long since abundantly propagared, the obligation of the precept ceaseth the cause ceasing. So S. Cyprian, S. Ierome, S. Augustin, and other Fathers expound this place. And confirme the same by the text, for immediatly God signifying to what end he spoke, saith: and replenish the earth. VVhich benig replenished, Gods wil is therin fulfilled.
Gn	1:1	1. In the beginning.] The Church had only Traditions & no Scripture aboue 2400. yeares. Holie Moyses telleth what was done in the beginningof the world, and so forward euen til his owne time, writing aboue two thousand and foure hundreth yeares after the beginning. Al which being incomprehensible by humaine witte or discourse, he knew partly by Reuelations from God, for he had the gyft of Prophecie in most excellent sorte: partly by Traditions from his elders, who lerned of their fathers. For vntil that time the Church had only Traditions of such things, as were reueled to special men, wherby we see the great authoritie of Traditions, before there were Scriptures. And since Scriptures were written they are also necessarie, for three special reasons. Tradition necessary for three causes. 1. First for that we are only assured by Tradition of the Church, that those bookes are in dede holie Scriptures, which are so accounted, and not by the Scripture it selfe, for that were to proue the same by the same, vntil we be assured of some part, that proueth some other partes. And this made S. Augustin to say plainly, *that he could not beleue the Gospel, except the Church told him vvhich is the Gospel. * cont. Epist. fund. c. 5. 2 Scripture most eminent authoritie. Secondly holie Scriptures being once knowen to be the word of God, and so of most eminent authoritie of al writings in the world, as S. Augustin S. Ierome, & al other Fathers agree, yet for the true vnderstanding of the same, both the Scripture it selfe, and the ancient Fathers remitte vs to the Church, namely to those in the Church, that are appointed by Gods ordinance, in the high place that he hath chosen. VVhich were the High Priests in the old Testament, as appeareth: Deut. 17. Mat. 23. Ioan. 11. And in the new Testament, S. Peter and his Successors for whom Christ prayed that his faith should not faile: and therfore commanded him to confirme his bretheren Luc. 22. 3 Thirdly for things not expressed in particular in holie Scripture, the Scripture and Fathers do likewise remitte vs to Traditions, and to the iudgement and testimonie of the Church. Christ saying to his Apostles: *he that heareth you heareth me. The Apostles doubted not to say: **It semed good to the Holie Ghost and to vs. And S. Paul willed the Thessalonians ***to hold the traditions, vvhich they had lerned, whether it were by word, or by his Epistle. * Luc. 10,16. **Act. 15, 28. ***2. Thess. 2.
Gn	1:2	2. The Spirite of God.] In the Hebrew it is signified, that the Spirite of God was on the waters to make them fertile, for that fishes and birdes were to be procreated therof; the word is merahepheth, incubabat, sate vpon, to produce fruict (saith S. Ierom) from the waters, as a henne by her heate, produceth life in the egges. And the same *S. Ierom, and before him Tertullian teach, that this was a figure of Baptisme, which consisteth of water and the Holie Ghost. A figure of Baptisme. For as water in the beginning of the world receiued a certain vital vertue of the Holie Ghost to produce liuing creatures: so also Baptisme receiueth vertue of the same Holie Ghost to procreate new men. Christians called fishes. VVherupon Tertullian calleth Christians fishes, because they are gotten from the waters, and thence haue their first spiritual life. Let it not therfore seme strange (saith he) that in Baptisme VVaters geue life. *Ieron. Epistol. 83. ad Ocea. Tert. de Baptis.
Gn	1:16	16. Tvvo great lights, and starres.] Light being an accident remayned without subiect, by the iudgement of some lerned Fathers. Here occurreth an other example of the hardnes of holie Scripture. For if the two great lights (towit the Sunne & the Moone) and also the starres, vvere made the fourth day, and not before, as it m•y seme by the wordes in this place, then what was that light, and in what subiect was it, that was made the first day? S. Basil, S. Gregorie Nazianzen, Theodoret, and some others, writing vpon this place do thinke that the light, which was made the first day, remayned though an accident without his subiect til the fourth day. And albeit most other Doctors rather think that the substance of the Sunne & Moone, & of other planets and starres were created the first day, and the fourth day set in that order and course which now they kepe, with more distinction for signes and seasons, and dayes and yeares: yet it is clere that the foresaid ancient Doctors iudged it possible, that accidents may remaine without their subiect. The accidents of breade and wine can remaine by Gods power without their subiects. which a Sacramentarie wil be loath to grant, lest it might be proued possible, as both these & al other Catholique Doctors beleued and taught, that the accidents of bread and wine remaine in the blessed Sacrament of the Eucharist without their subiects. VVhich Protestants denie.
Gn	1:26	26. Let vs make man to our Image.] Tenne prerogatiues of man in his creation. For better consideration of Gods bountie towards vs, and sturring our selues to gratitude towards him, we may here note tenne prerogatiues bestowed on vs, by our Lord & maker in our creation aboue al other earthlie creatures. 1. made like to God. First, wheras God by an imperial word of commandment made other creatures, Fiat lux, Fiat firmamentum: Be there light: Be there a firmament: intending to make man, he procedeth familiarly, by way, as it were, of consultation, and as to his owne vse and seruice to make man saying: Let vs make man to our image and likenes, that is to say, a reasonable creature with vnderstanding and free wil, which beastes haue not. 2. The Mysterie of the B. Trinitie insinuated in his creation. Secondly, in this worke God first insinuateth the high Mysterie of the B. Trinitie, or pluralitie of Persons in one God (because man is to beleue the same) signifying the pluralitie of Persons by the wordes Let vs make, and to our: and the vnitie in substance, by the wordes Image and likenes, the first in the plural number, the later in the singular. 3. produced by God him selfe. Thirdly, other creatures were produced by the waters and earth, Let the vvaters bring forth (fishe and soule) Let the earth bring forth (grasse and cattle, & other beastes) but God brought forth man, not by the earth, though of the earth, nor by water, nor by heauen, nor by Angels, but by him selfe, geuing him a reasonable soule, not sensual only as to beastes, and the same not produced of anie creature, but created immediatly of nothing. 4. placed in paradise. Fourthly, God gaue man Paradise a most pleasant place to dwel in. 5. Lord of al earthlie creatires. Fiftly, God gaue man dominion and imperial authoritie ouer alliuing creatures vnder heauen. 6. innocencie. Sixtly, man was created in that innocencie of life, and integritie of al vertues, that his mind was wholly subiect to God, his sense to reason, his bodie to his spirite, and al other liuing creatures obedient to him: euen the terrible Lions, the cruel Tigres, the huge Elephants, and the wildest birdes. 7. excellent knowledge. Seuently, God brought them al to man, as to do him homage, and to take their names of him. VVhich by his excellent knowledge he gaue them conformable to their natures. 8. powre to liue euer. Eightly, God gaue man in some sorte an immortal bodie, that if he had kept Gods commandment, he had liued long and pleasantly in this world, and so should haue bene translated to eternal life without dying. 9. gift of prophecie. Ninthly, God did not only adorne man with al natural knowledge, and supernatural vertues, but also with the gift of prophecie. VVherby the knew that Eue was a bone of his bones, and flesh of his flesh, though being a slepe he knew not when she was made. 10. God conuersed familiarly with man. Tenthly (which was the chiefe benefite of al) God conuersed familiarly with man, and that in shape of man, which was a token of his meruelous great loue to man, and a singular incitment of him to loue God. Reade more, if you please, of the dignitie of man, and the benefites of God towards him in his creation, in S. Bernard vpon the 99. Psalme. And vpon the 61. chapter of Esaie.
Gn	1:28	28. Increase and multiplie.] Gods blessings alwayes effectual. VVhether this be a commandment or no, at least it is a blessing, for so the wordes before conuince, God blessed them and said: Increase and multiplie. He said the same also to brute creatures, which are not capable of a precept, but by this were made fertile. VVherby we see that Gods blessing alwayes worketh some real effect: as of fertilitie in this and other places, of multiplication of the loaues and fishes, Ioan 6. Especially in the holie Eucharist. And some real effect Christs blessing must nedes worke also in the blessed Sacrament. Mat. 26. VVhich can be no other but changing bread and wine into his bodie & bloud, seing him selfe expresly sayeth: This is my bodie. this is my bloud. Not al men & wemen commanded to marie. And though Gods blessing in this place, be also a precept, yet it is not to al men for euer, but for the propagation of mankind, which being long since abundantly propagared, the obligation of the precept ceaseth the cause ceasing. So S. Cyprian, S. Ierome, S. Augustin, and other Fathers expound this place. And confirme the same by the text, for immediatly God signifying to what end he spoke, saith: and replenish the earth. VVhich benig replenished, Gods wil is therin fulfilled.
Gn	2:3	The seuenth day ] Al creatures being made in their kinds in six dayes, complete & perfect, God not needing (as men often doe in their workes) to perfect, polish, or amend the same, rested the seuenth day: & therfore the natural perfection of Gods workes is attributed to the seuenth day, and the supernatural perfecting of men in eternal life, after the Resurrection, is attributed to the eight day, as S. Augustin and other fathers teach. And for this cause God blessed and sanctified the seuenth day: and after we haue in the Decalogue or ten commandements, that this day al should rest and abstaine from workes, yea and keep it festiual, occupying themselues in spiritual exercifes, seruice, and special worship of God, as the Iewes did euen til Christs and his Apostles time, praying & hearing the word of God read & expounded in the Sabboath day. Wherby we see that distinction of dayes pertaineth to Religion the people of God thus obseruing the Sabboth in memorie of the Creation, and diuers other feasts in memorie of other benefits. And we now keep the Sunday holy in memorie of Christs Resurrection, & other feasts in grateful remembrance of other Mysteries of Christs Natiuitie, the coming of the Holy Ghost, & the like. Yea also feasts of his Blessed Mother, & other Saints, for the benefits receiued from Christ by them, & for more honour to Christ in them. So this Catholike obseruation of feasts is neither Iudaical (which also in the law was good, but now is abrogated) nor heathnish, for we honour not Iupiter, nor Inno, nor anie false God or Goddesse, but our Lord God Creatour & Redeemer, & for his sake his best seruants. Whereof see the Annotations in the English new Testament, chap. to the Galathians. Where we here only adde these words of S. Basil: Honor seruorum redoundat in communem Dominum: the honour of the seruants redoundeth to their Lord and ours. So the honour of Saints is the honour of Christ.
Gn	2:17	Of the tree of knowledge.] Besides the law of nature, by which Man was bound to direct al his actions according to the rule of reason; & besides the supernatural diuine law, by which he was bound to belieue & trust in God, & to loue him aboue al things, hauing receiued the guifts of faith, hope, and charitie; God gaue him another particular law, that he should not eate of the tree of knowledge of good and euil. And that for two special reasons, which S. Augustin noteth vpon this place. First, that God might declare himselfe to be Lord of man. Which was absolutely necessarie to man, for man, & nothing at al profitable to God, who needeth not our seruice, but we without his dominion should vtterly fal to nothing. Nec enim ipso non creante existere, etc. For he not creating vs, neither could we haue been, nor he not consenting vs could we haue been, nor he not gouerning vs, could we liue rightly. Wherfore he only is our true Lord, not for his, but for our owne profit or saluation we serue. The other reason was, that God might giue man matter wherin to exercise the vertue of obedience, and to shew himselfe a subiect of God. Which could not be so proprely & effectually declared by keeping other lawes, nor the enormitie of disobedience appeare so euidently, as by fulfilling of Gods wil commanding him, or by doing his owne wil, moued to the contrarie, in a thing of it-selfe indifferent, & only made vnlawful, because it was forbid. But let vs heare S. Augustines owne words. Nec potuit melius aut diligentius commendari quantum malum sit sola inobedientia, etc. Neither could it (faith this great Doctour) be better, nor more exactly signified how bad a thing sole disobedience is, when where a man became guiltie of iniquitie because he touched that thing contrarie to prohibition.
Gn	3:1	Why hath God ] Here we may see how sinne came first among men. For the diuel envying mans happie state tempted Eue the weaker person, beginning with a question, therby to allure her into conference, and by such a question as might bring her into suspicion of Gods affection towards man, saying: Why hath God commanded you, that you should not eate of euerie tree of Paradise? insinuating by these words, and withal internally suggesting, that God dealt hardly with them, abridging their libertie without cause. And when he had got so much of her, that she was displeased with the precept, which she shewed by adding of her owne (to make it seeme more grievous) that they were forbidden to touch the tree, & againe by reporting the punishment as doubtful, saying, Lest perhaps we dye; then the tempter anouched boldly, and falsly, that they should not dye, and charged God to be envious of the benefit they should get by eating of that tree, saying their eyes should be opened, and they should be as Gods, knowing good and euil upon which perswasion and liking also she had to the fruit, she did take and eate, and perswaded Adam also to eate. And forthwith they saw that they would not have seen, knew euil which they had better not to have known, were ashamed, and endcauoured to couer and hide themselves. Even thus the diuel dealeth with men ever since, assaulting the weaker persons, and weaker part, as the flesh and sensualitie, and by them setteth upon the stronger and superiour part, to get consent of free wil, without which there is no sinne; according to that famous saying of Augustin: Peccatum adeo est voluntarium, ut nullo modo sit peccatum, si non voluntarium. Sinne is so voluntary, that in no wise it can be sinne, if it be not voluntarie.
Gn	3:15	She shal bruise ] Protestants wil not admit this reading, ipsa conteret, she shal bruise, lest our Blessed Ladies should be said anie way to bruise the serpents head. And Kemnisius amongst others faith, that al ancient Fathers read, ipsum, not ipsa. But he is conuinced of lying by Claudius Marius Victor lib. 1. in Gen. Alcimus Auitus lib. 3. carm. c. 6. S. Chrisostom hom. 17. in Genes. S. Ambrose lib. de fuga saeculi cap. 7. S. Augustin l. 2. de Genesi contra Manichaeos, cap. 18. & lib. 11. de Genesi ad literam chap. 16. S. Gregorie lib. 1. Moralium cap. 18. And after them S. Bede, Eucherius, Rabanus, Rupertus, Strabus, and Lyra vpon this place, S Bernard ser. 2. super Missus est, and manie others, who read ipsa, as the Latin text now hath. Both readings yeald the same: But whether we read, She shal bruise, or, her seede, that is her sonne Christ shal bruise the serpents head, we attribute no more nor no lesse to Christ nor to our Ladie by the one reading then by the other: for by the text, I wil put enmities between thee and the woman, between thy seed and her seed; it is cleere, that this enmitie and battle pertained to the woman & her seed on the one partie, and to the duel, that spake by the serpent, & al the wicked, on the other partie, & that the victorie should happen to mankind. Which being captiue by Adams sinne, occasioned by a woman, should be redeemed, both sexes, though in farre different sort, concurring therto. And so it is most true, that Christ by his owne proper power, and his Blessed Mother by her most immediate cooperating to his Incarnation did bruise the serpents head, breake & vanquish his power. As manie ancient Fathers doe excellently discourse: namely S. Bernard, writing vpon these wordes in the Apocalyps c. 12: A great signe appeared in heauen, a woman clothed with the sunne: Albeit (faith he) by one man and one woman we were greatly damaged, yet (God be thanked) by one man & one woman al losses are repaired, and that not without great increase of graces. For the benefit doth farre exceed the losse. Our merciful father giving vs for a terrestrial Adam Christ our Redeemer, & for old Eue Gods owne Mother. Moreover as the same S. Bernard sheweth, this Blessed Virgin in singular sort bruised the serpents head, in that she quite vanquished al manner suggestions of the wicked serpent, never yealding to, nor taking delight in anie euil moued by him.
