RowNum	OrigBook	OrigRef	MatchedBook	MatchedRef	Score	SplitMethod	QuoteLen	Status
1	Gn	22:13	Gn	22:13	0.2500	period	253	MARGINAL
2	Gn	22:24	Gn	22:24	0.6667	period	80	OK
3	Gn	22:1	Gn	22:1	0.1892	period	465	LOW_CONFIDENCE
4	Gn	22:19	Gn	22:19	0.2000	period	22	LOW_CONFIDENCE
5	Gn	22:7	Gn	24:7	0.4028	period	381	OK
6	Gn	22:20	Gn	24:20	0.2903	period	129	MARGINAL
7	Gn	22:27	Gn	24:27	0.5135	period	180	OK
8	Gn	24:60	Gn	24:60	0.3030	period	159	MARGINAL
9	Gn	24:62	Gn	24:62	0.3529	none	139	OK
10	Gn	24:63	Gn	24:63	0.4706	period	124	OK
11	Gn	22:14	Gn	22:14	0.1600	period	28	LOW_CONFIDENCE
12	Gn	22:30	Gn	25:30	0.2609	period	62	MARGINAL
13	Gn	20:6	1Chr	16:13	0.2500	period	33	MARGINAL
14	Gn	20:21	Gn	20:21	0.1905	period	89	LOW_CONFIDENCE
15	Gn	20:23	Gn	20:23	0.1552	period	321	LOW_CONFIDENCE
16	Gn	20:31	Gn	20:31	0.1667	period	29	LOW_CONFIDENCE
17	Gn	20:26	Gn	26:1	0.3810	period	211	OK
18	Gn	20:35	Gn	20:35	0.0000	period	25	STRUCTURAL_GAP
19	Gn	20:5	Gn	20:5	0.1667	period	331	LOW_CONFIDENCE
20	Gn	20:12	Gn	20:12	0.1591	period	596	LOW_CONFIDENCE
21	Gn	27:21	Gn	27:21	0.2812	period	114	MARGINAL
22	Gn	27:23	Gn	27:23	0.3548	period	161	OK
23	Gn	27:40	Gn	27:40	0.0000	period	19	STRUCTURAL_GAP
24	Gn	27:44	Gn	27:44	0.3846	period	91	OK
25	Gn	27:19	Gn	27:19	0.1161	period	1141	LOW_CONFIDENCE
26	Gn	27:21	Gn	28:21	0.4737	period	87	OK
27	Gn	27:45	Gn	27:45	0.1887	period	255	LOW_CONFIDENCE
28	Gn	29:21	Gn	29:21	0.5556	period	101	OK
29	Gn	29:9	Gn	29:9	0.1818	period	72	LOW_CONFIDENCE
30	Gn	31:17	Gn	31:17	0.4000	period	92	OK
31	Gn	31:27	Gn	31:27	0.4848	period	156	OK
32	Gn	31:43	Gn	31:43	0.5517	period	168	OK
33	Gn	31:19	Gn	31:19	0.1402	period	675	LOW_CONFIDENCE
34	Gn	31:17	Gn	32:17	0.2941	period	299	MARGINAL
35	Gn	31:7	Gn	31:7	0.1613	period	335	LOW_CONFIDENCE
36	Gn	35:24	Gn	35:24	0.2439	period	152	LOW_CONFIDENCE
37	Gn	35:2	Gn	33:3	0.3600	period	101	OK
38	Gn	35:9	Gn	35:9	0.2381	period	71	LOW_CONFIDENCE
39	Gn	35:20	Gn	33:20	0.3913	period	92	OK
40	Gn	35:3	Gn	34:3	0.6000	period	96	OK
41	Gn	35:49	Gn	35:49	0.1379	period	74	LOW_CONFIDENCE
42	Gn	35:24	Gn	35:24	0.1875	period	53	LOW_CONFIDENCE
43	Gn	35:26	Gn	35:26	0.2174	period	84	LOW_CONFIDENCE
44	Gn	35:7	Gn	35:7	0.6667	period	144	OK
45	Gn	35:2	Gn	35:2	0.1702	period	284	LOW_CONFIDENCE
46	Gn	35:10	Gn	35:10	0.2075	period	339	LOW_CONFIDENCE
47	Gn	36:20	Gn	36:20	0.6000	period	149	OK
48	Gn	36:26	Gn	36:26	0.5714	period	83	OK
49	Gn	36:29	Gn	36:29	0.6429	period	87	OK
50	Gn	36:2	Gn	36:2	0.1957	period	394	LOW_CONFIDENCE
51	Gn	36:6	Gn	36:6	0.1458	period	222	LOW_CONFIDENCE
52	Gn	37:36	Gn	37:36	0.2000	period	38	LOW_CONFIDENCE
53	Gn	37:29	Gn	37:30	0.3793	period	174	OK
54	Gn	37:35	Gn	37:35	0.1525	period	824	LOW_CONFIDENCE
55	Gn	37:4	Hos	1:8	0.2609	period	82	MARGINAL
56	Gn	37:13	Gn	38:13	0.4091	period	74	OK
57	Gn	37:17	Gn	38:17	0.4138	period	68	OK
58	Gn	39:8	Gn	39:8	0.1648	period	494	LOW_CONFIDENCE
59	Gn	39:6	Gn	39:6	0.3750	period	73	OK
60	Gn	40:8	Gn	40:8	0.1714	period	158	LOW_CONFIDENCE
61	Gn	40:7	Gn	40:7	0.2353	period	55	LOW_CONFIDENCE
62	Gn	40:5	Gn	40:5	0.2000	period	103	LOW_CONFIDENCE
63	Gn	40:30	Gn	41:30	0.3590	period	239	OK
64	Gn	40:33	Gn	41:33	0.2791	period	256	MARGINAL
65	Gn	40:47	Gn	41:47	0.4400	period	136	OK
66	Gn	40:48	Gn	41:48	0.3158	period	65	MARGINAL
67	Gn	41:45	Gn	41:45	0.1311	period	321	LOW_CONFIDENCE
68	Gn	41:5	Gn	41:5	0.0000	period	23	STRUCTURAL_GAP
69	Gn	41:23	Gn	42:24	0.4737	period	85	OK
70	Gn	42:7	Gn	42:7	0.2041	period	228	LOW_CONFIDENCE
71	Gn	42:9	1Mc	6:19	0.2778	period	55	MARGINAL
72	Gn	42:38	Gn	42:38	0.1500	period	51	LOW_CONFIDENCE
73	Gn	43:19	Gn	43:19	0.2353	none	66	STRUCTURAL_GAP
74	Gn	43:20	Gn	43:20	0.3333	period	45	MARGINAL
75	Gn	43:29	Gn	43:29	0.6154	period	198	OK
76	Gn	45:22	Gn	44:22	0.3947	period	201	OK
77	Gn	45:42	Gn	45:42	0.1333	period	103	LOW_CONFIDENCE
78	Gn	45:5	Gn	45:5	0.1739	period	73	LOW_CONFIDENCE
79	Gn	45:24	Gn	45:24	0.3704	period	109	OK
80	Gn	45:27	Gn	45:27	0.2800	period	65	MARGINAL
81	Gn	45:24	Gn	45:24	0.2000	period	23	LOW_CONFIDENCE
82	Gn	45:9	Gn	46:9	0.8000	none	61	OK
83	Gn	45:10	Gn	46:10	0.5263	period	112	OK
84	Gn	45:13	Gn	46:14	0.4375	period	115	OK
