BookAbbrev	Chapter	Verse	VerseText_1609
Is	49	1	. 1 y . . . . r Al nations shal come to the Church of Chrift; which shal beginne sn lerufatem.6 Aand the Lewes shal be reiefled for their idolatrie, auarsce , and other finnes
Is	49	11	Proud men shal be humbled , cx Gods glorie shal increafe
Is	49	18	Tdolatrie sal be deffroyed, sea) word that Haiethe fonne of Amos faw vpon = Tuda and lerufalem,
Is	49	2	And in(a} the later dayesthe mountaine of the houfe of ourLord shal be prepared, } in the toppe of mountaines , and it shal be cleuared aboue the litle hils : and al mations shal flowe vnto it.
Is	49	3	And manic peoples shal goe, & shal fay, come and let vs goe vptothe mount of our Lord , andro the houfe of the God of lacob, and he wilteachvs his wayes, and we shal walkein hispathes : becaufethe law shal come forth from Sioa , andthe word of our Lord fromterufalem,
Is	49	4	And he shal iudge the Gentiles and rebuke manie peoples : and they shal curne their {Words into culters, and their {peares inte-fithes : nation shal not litt vp fword againft nacié, neither shal they be exercifed any more to bat- tel.
Is	49	5	Houfe ot lacob come ye and let vs waike in the light of our Lord..
Is	49	6	For thou haft (6) reiected thy people,the houfe of Lacob: becaufe they are filled as intimes paft, and haue had fouthfayersas the Philifthjjms, and haue ftucke faft to {trange children,
Is	49	7	The land is replenished with filuer and gold: and there is no end of their treafures,
Is	49	8	And their land is replenished with horfes : and their chariots.are innumerable. Andtheir land is ful of idols : they haue adored the worke of their. hands » which their fingers made,
Is	49	9	And man bowed himfelf, and man was humbled: therfore forgiue chem not,1o. Enter thou inro the rocke,, and be hid in a pitte,inthe ground from the face of the feare of our Lord, & fromrhe glorie ofbis maieftie,
Is	49	11	The lottie cies of man are humbled, and the heighe of men shel be made toftoupe : & our Lord onlie fhal be exalted in that day,
Is	49	12	Becaufe the day of the Lord of hoftes thal be vponaithe proude and lottie, and vpon eueric onetharis atrogant , and he shal be humbjed.
Is	49	13	And vpon al the ceders of Libanus high & eleuared,& vp altheokes of Bafan.
Is	49	14	vpon al.the high mountaines , and vpon a} litle hilseleuated,
Is	49	15	And vponcuctie high towre,and cucrie fenfed wal,16, And vpon al the shippes of Tharfis, and vpon al that is fayre to behold,
Is	49	17	And the loftines of men shal be bowed , and the height ot men shal be humbled, and our Lord onlie shal be exalred in that day, 18, And idols shal (¢) viterly be deftroyed.
Is	49	19	And they shal enter into the caues of rockes, and into the pittes of the earth from the face of the teare of our Lord,and from the glorie of his maietuie, when he shal rile vpto {trike the carzh,
Is	49	20	In tha: day shala ma cat away the idols.of his tiluer, and ef pac. OF iS ATE, 449 and the idols of his gold , which he had made him to adore, 0wles and bartes,
Is	49	21	And he shal goc intothe cleftsot rockes, and intothe caues of {tones fromthe face of the teare of our Lord , and from the glerie of his maieftie , when he shal rife vpto ftrikethe earth.
Is	49	22	Ceafe therfore fromthe man, whole fpirit is in his nofthrels,becaute he is repured high.
Is	3	8	for sheir griences finnes. 3 6.The proud, curicus, and bafct. wious attyre of their women,
Is	3	24	skal be turned into ignominie and forow. O x behold the dominatour the Lord of hoftes (a) shal take away from Jerufalem,and from Judathe valiant & the ftrong , al ftrengsh ot bread , and al ftrength of wa- ter,
Is	3	2	The dtrong, and the man of warre,the mdge,and N the Prophete, and fouthiayeé , and the ancient,
Is	3	3	The AY Prince ouer fittie, and the honuorable of countenance, and the counfeler , andthe wite of workemafters, and the skilful of myftical fpeach.4.And I wil gine children to be their Prin- ces , and the effeminate fhal rule ouerthem,
Is	3	5	And the people fhal rush violendy , man againft man , and euerie one againft his neighbour : the chilce shal make tumult againil the ancient, and the baie againit the.no- ble.
Is	3	6	Fora mandnal take hold of hisbrother., one of the houfe-of his father : Thou hafta garment, be thou our Prince,and let this ruine be vn- derthy band,
Is	3	7	He thal antwer in that day,laying:1 am no phyficion , & in my houfethere is no bread,nor garmeni:doe not appoint me Prince of the people,
Is	3	8	For Jerufaié is gone to ruine,and Juda is fallé:becaufe their tongue & their inuentians were againft our Lord ,to prauoke the cyes, o; hisimaieftic.
Is	3	9	The knowledge-of theirface hath a::fwered them:and is welbecanfe he Shal cate the fruite, of his inuentions,
