BookAbbrev	Chapter	Verse	VerseText_1609
Gn	1	1	God createth heauen and earth, and al things therin; The firſt part. diſtinguishing and bevvtyfying the ſame; 26. laſt of al Of the creatiõ the ſixth day he createth man: to vvhom he ſubiecteth of al things. al corporal things of this inferior vvorld. n the beginning God created heauen and earth.
Gn	1	2	And the earth was voide & vacant, and darkenes was vpon the face of the deapth: and the the Spirite of God moued ouer the waters.
Gn	1	3	And God ſaid: Be light made. And light was made.
Gn	1	4	And God ſaw the light that it was good: & he diuided the light from Heb. 11, 3. the darkenes.
Gn	1	5	And he called the light, Day, and the darkenes, Night: and there was euening & morning, that made one day.
Gn	1	6	God alſo ſaid: Be a firmament made amidſt the waters: and let it diuide betwene waters & Iob. 38. waters.
Gn	1	7	And God made a firmament, and diuided the Ier. 10,13. waters, that were vnder the firmament, from thoſe, that were aboue the firmament. And it was ſo done.
Gn	1	8	And God called the firmament, Heauen: and there was euening & morning that made the ſecond day.
Gn	1	9	God alſo ſaid: Let the waters that are vnder the heauen, be gathered together into one place: and let the drie land appeare. And it was ſo done.
Gn	1	10	And God called the drie land, Earth: and the gathering of waters together, he called Seas. And God ſawe that it was good.
Gn	1	11	And ſaid: Let the earth ſhoot forth grene herbes, and ſuch as may ſeede, & fruite trees yelding fruit after his kinde, ſuch as may haue ſeede in it ſelfe vpon the earth. And it was ſo done.
Gn	1	12	And the earth brought forth grene herbe, ſuch as ſeedeth according to his kinde, & tree that beareth fruite, hauing ſeede eche one according to his kinde. And 17, 24. Pſalm. a The firmament is al the ſpace from the earth to the hiegheſt ſtar- res: the loweſt part diuideth betwene the waters on the earth and the waters in the ayer. S. Aug. li. 11. de Gen. ad lit. c. 4. b Likewiſe heauẽ is al the ſpace aboue the earth: in whoſe loweſt part are birdes and waters, in the higher part ſtarres: the hiegheſt is the Empyrial heauen. Eſa. 66. God ſaw that it was good.
Gn	1	13	And there was euening & morning that made the third day.
Gn	1	14	Againe God ſaid: Be there lightes made in the firmament of heauen, to diuide the day & the night, and let them be for ſignes & ſeaſons, and dayes and yeares:
Gn	1	15	to ſhine in the firmament of heauen, & to giue light vpon the earth. And it was ſo done.
Gn	1	16	And God made two great lights: a greater light, to gouerne the day: and a leſſer light to gouerne the night: and ſtarres.
Gn	1	17	And he ſet them in the firmament of heauen, to ſhine vpon the earth,
Gn	1	18	and to gouerne the day & the night, and to diuide the light & the darkenes. And God ſawe that it was good.
Gn	1	19	And there was euening and morning that made the fourth day.
Gn	1	20	God alſo ſaid: Let the waters bring forth creeping creature hauing life, and flying foule, ouer the earth vnder the firmament of heauen.
Gn	1	21	And God created huge Whales, and al liuing & mouing creature, that the waters brought forth, according to eche ſorte, & al ſoule according to their kinde. And God ſaw that it was good.
